G04	2008	Guardian	Guardian - jaarlijst 2008	Guardian2008.htm	pos			Algemeen	Engeland	Krant	2008	50		1		2008	1	2008	G04	2008	1	G04	
G05	2007	Guardian	Guardian - 1000 albums to hear before you die (2007)	Guardian1000albums.htm	pos			Algemeen	Engeland	Krant	2008	1000							G05	2007		G05	
G06	2009	Guardian	Guardian - jaarlijst 2009	Guardian2009.htm	pos			Algemeen	Engeland	Krant	2009	50			201001	2009	1	2009	G06	2009	1	G06	
G07	2009	Guardian	Guardian - jaarlijst 2000-2009	Guardian20002009s.htm	pos	1		Algemeen	Engeland	Krant	2000-2009	50		1	201001	00s	1		G07	2009		G07	
G08	2010	Guardian	Guardian - jaarlijst 2010	Guardian2010.htm	pos			Algemeen	Engeland	Krant	2010	50		1	201012	2010	1	2010	G08	2010	1	G08	
H01	1999	Heaven	Heaven - jaarlijst 1999	Heaven1999.htm	ak		10	Algemeen	Nederland	Tijdschrift	1999	81				1999	1	1999	H01	1999	1	H01	
H02	2000	Heaven	Heaven - jaarlijst 2000	heaven2000.htm	ak		10	Algemeen	Nederland	Tijdschrift	2000	148		1		2000	1	2000	H02	2000	1	H02	
H03	2001	Heaven	Heaven - jaarlijst 2001	heaven2001.htm	ak		10	Algemeen	Nederland	Tijdschrift	2001	162		1		2001	1	2001	H03	2001	1	H03	
H04	2002	Heaven	Heaven - jaarlijst 2002	heaven2002.htm	ak		10	Algemeen	Nederland	Tijdschrift	2002	190		1		2002	1	2002	H04	2002	1	H04	
H05	2003	Heaven	Heaven - jaarlijst 2003	Heaven2003.htm	ak		10	Algemeen	Nederland	Tijdschrift	2003	214		1		2003	1	2003	H05	2003	1	H05	
